City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kaitangata,-46.28,169.85,44.01,88,1,5.01,NZ,1595102260
Mahébourg,-20.41,57.7,69.8,56,40,12.75,MU,1595102352
Montegrotto Terme,45.33,11.79,73.99,59,72,1.99,IT,1595102352
Lucea,18.45,-78.17,87.8,70,40,16.11,JM,1595102352
Guerrero Negro,27.98,-114.06,81.54,46,0,17.16,MX,1595102352
Fortuna,40.6,-124.16,66.99,68,20,9.17,US,1595102110
Bundaberg,-24.85,152.35,52.0,87,1,5.82,AU,1595102352
St. George's,12.06,-61.75,87.8,66,20,20.8,GD,1595102189
Narsaq,60.92,-46.05,66.2,37,75,14.99,GL,1595102327
General Pico,-35.66,-63.76,59.41,77,86,7.38,AR,1595102122
Korla,41.76,86.15,88.0,69,97,3.0,CN,1595102353
Iqaluit,63.75,-68.51,44.6,100,90,5.82,CA,1595102353
Husavik,66.04,-17.34,44.6,75,75,19.46,IS,1595102258
Tārūt,26.57,50.04,96.8,53,11,6.93,SA,1595102354
Nanortalik,60.14,-45.24,49.32,59,1,9.28,GL,1595102123
Dikson,73.51,80.55,39.11,94,100,8.61,RU,1595102264
Castro,-24.79,-50.01,68.41,72,15,4.74,BR,1595102354
Ponta Delgada,37.73,-25.67,71.6,73,40,12.75,PT,1595102354
Fairbanks,64.84,-147.72,62.01,87,90,6.93,US,1595102354
Samfya,-11.36,29.56,54.1,65,5,8.16,ZM,1595102354
Madison,34.73,-86.57,96.01,55,75,3.36,US,1595102089
Bijie,27.31,105.29,65.19,93,100,3.2,CN,1595102355
Shache,38.42,77.24,75.13,43,100,5.99,CN,1595102355
Praia da Vitória,38.73,-27.07,73.4,78,75,11.99,PT,1595102355
Portland,45.52,-122.68,75.0,53,1,5.82,US,1595102325
Ushtobe,45.25,77.98,79.77,31,7,10.2,KZ,1595102355
Daru,-9.08,143.21,75.36,86,63,13.11,PG,1595102355
Port Elizabeth,-33.92,25.57,60.8,82,0,16.11,ZA,1595102355
Porto Velho,-8.76,-63.9,93.2,38,40,5.82,BR,1595102356
Coos Bay,43.37,-124.22,82.0,63,1,25.28,US,1595102165
Krasnyy Chikoy,50.36,108.75,45.48,88,54,3.89,RU,1595102356
Kenai,60.55,-151.26,62.01,82,90,14.99,US,1595102356
Bang Saphan,11.21,99.51,78.13,89,89,3.8,TH,1595102356
Idappadi,11.58,77.85,79.16,82,100,2.33,IN,1595102356
Grindavik,63.84,-22.43,51.8,76,75,18.34,IS,1595102109
Port Hedland,-20.32,118.57,64.4,72,40,9.17,AU,1595102357
Kisi,9.08,3.85,72.9,95,89,3.71,NG,1595102357
Härnösand,62.63,17.94,68.0,64,22,8.05,SE,1595102357
Maraã,-1.83,-65.37,80.37,92,83,3.09,BR,1595102357
Santa Isabel Rio Negro,-0.41,-65.02,86.92,64,48,3.62,BR,1595102357
Vardø,70.37,31.11,50.54,93,100,8.5,NO,1595102357
Taiyuan,37.87,112.56,66.2,88,100,3.91,CN,1595102357
Coquimbo,-29.95,-71.34,59.0,72,100,10.29,CL,1595102225
Lábrea,-7.26,-64.8,90.97,48,88,2.42,BR,1595102358
Hasaki,35.73,140.83,70.0,100,75,2.24,JP,1595102358
Aitape,-3.14,142.35,77.47,83,100,6.2,PG,1595102358
San Cristobal,7.77,-72.22,91.4,38,40,19.46,VE,1595102126
Lagoa,39.05,-27.98,69.55,79,4,12.82,PT,1595102358
Ilulissat,69.22,-51.1,55.4,35,20,5.82,GL,1595102358
Ammon,43.47,-111.97,81.0,41,1,6.93,US,1595102155
Mar del Plata,-38.0,-57.56,57.2,82,100,5.82,AR,1595102351
Naryan-Mar,67.67,53.09,46.15,93,26,8.72,RU,1595102359
Butaritari,3.07,172.79,83.01,76,0,15.95,KI,1595102359
Kavieng,-2.57,150.8,81.5,73,100,6.11,PG,1595102359
Severo-Kuril'sk,50.68,156.12,50.18,87,72,11.39,RU,1595102282
Bandarbeyla,9.49,50.81,79.81,63,0,33.51,SO,1595102359
Alyangula,-13.85,136.42,57.2,100,90,5.44,AU,1595102359
Paamiut,61.99,-49.67,47.1,80,32,8.59,GL,1595102359
Saint-Pierre,-21.34,55.48,66.2,82,75,8.05,RE,1595102360
Seoul,37.57,126.98,77.0,65,90,3.36,KR,1595102276
Gobabis,-22.45,18.97,51.8,32,0,1.12,NA,1595102360
Yar-Sale,66.83,70.83,49.95,95,100,11.95,RU,1595102360
Kristianstad,56.03,14.15,68.0,82,100,5.82,SE,1595102360
Torbay,47.67,-52.73,69.01,34,75,8.05,CA,1595102360
Wanaka,-44.7,169.15,30.99,88,0,3.0,NZ,1595102360
Thunder Bay,48.4,-89.32,79.0,83,1,3.36,CA,1595102361
Dolinsk,47.35,142.8,62.6,100,97,4.47,RU,1595102361
Lompoc,34.64,-120.46,71.01,64,5,12.75,US,1595102138
Pisco,-13.7,-76.22,64.4,72,4,11.41,PE,1595102361
Qaanaaq,77.48,-69.36,48.96,68,93,2.55,GL,1595102361
Pangai,-19.8,-174.35,76.71,86,100,20.45,TO,1595102361
Karīmganj,24.87,92.35,77.14,95,100,1.23,IN,1595102361
Alta Floresta,-9.88,-56.09,93.96,28,3,5.99,BR,1595102361
Codrington,-38.27,141.97,45.37,93,9,12.71,AU,1595102262
Mogadishu,2.04,45.34,77.63,79,83,17.58,SO,1595102272
Kleive,62.8,7.64,59.0,62,79,10.29,NO,1595102362
Mandalgovi,45.76,106.27,57.56,57,48,1.83,MN,1595102362
Comodoro Rivadavia,-45.87,-67.5,41.0,80,40,6.93,AR,1595102118
Tual,-5.67,132.75,78.19,81,66,17.18,ID,1595102362
La Ciotat,43.17,5.6,73.0,82,0,1.01,FR,1595102362
Nara,34.69,135.8,75.99,74,97,1.39,JP,1595102256
Bonthe,7.53,-12.51,76.66,83,100,3.09,SL,1595102363
Amazar,53.86,120.88,63.82,93,100,6.04,RU,1595102363
Barcelona,41.39,2.16,78.01,78,40,4.7,ES,1595102363
Hobart,-42.88,147.33,51.8,66,27,1.12,AU,1595102357
Kita,13.03,-9.49,75.79,90,100,1.86,ML,1595102363
Tasiilaq,65.61,-37.64,51.8,53,40,9.17,GL,1595102106
Bethel,41.37,-73.41,91.0,45,1,3.36,US,1595102363
Rawson,-43.3,-65.1,47.64,72,100,12.12,AR,1595102084
Peniche,39.36,-9.38,68.0,90,0,8.99,PT,1595102088
Ponta do Sol,32.67,-17.1,73.0,70,1,4.27,PT,1595102264
Boa Vista,2.82,-60.67,84.2,66,75,3.36,BR,1595102364
Touros,-5.2,-35.46,75.2,88,75,10.29,BR,1595102286
Savannakhet,16.57,104.75,78.4,84,98,5.77,LA,1595102364
Umm Hājar,13.3,19.7,82.58,56,18,8.61,TD,1595102365
Karpathos,35.51,27.21,73.72,76,0,14.09,GR,1595102365
Lata,40.16,-8.33,87.01,61,0,1.01,PT,1595102365
Jamestown,42.1,-79.24,87.01,58,1,10.29,US,1595102192
Chippewa Falls,44.94,-91.39,89.01,58,1,8.05,US,1595102223
Beringovskiy,63.05,179.32,50.99,86,100,1.03,RU,1595102365
Realeza,-25.77,-53.53,74.73,72,0,5.23,BR,1595102366
Porbandar,21.64,69.61,84.16,82,14,17.76,IN,1595102366
Saint-Philippe,-21.36,55.77,66.2,82,75,8.05,RE,1595102366
Chui,-33.7,-53.46,64.45,90,100,6.17,UY,1595102152
Shafter,35.5,-119.27,93.0,29,1,10.29,US,1595102366
Ilo,-17.64,-71.34,63.05,71,25,6.62,PE,1595102366
Oeiras do Pará,-2.0,-49.85,88.97,54,52,2.46,BR,1595102366
Kavaratti,10.57,72.64,82.09,77,100,20.71,IN,1595102367
Salinópolis,-0.61,-47.36,81.79,80,24,10.38,BR,1595102367
Torres,-29.34,-49.73,69.21,83,0,7.85,BR,1595102367
Vao,-22.67,167.48,69.49,75,31,13.65,NC,1595102367
Mandera,3.94,41.87,82.54,43,100,17.2,KE,1595102367
Kapaa,22.08,-159.32,84.0,74,40,12.75,US,1595102367
Oddur,4.12,43.89,73.62,64,28,22.57,SO,1595102367
Puerto Ayora,-0.74,-90.35,78.8,61,20,17.22,EC,1595102349
Angoche,-16.23,39.91,70.84,76,47,10.94,MZ,1595102368
Wasilla,61.58,-149.44,64.0,72,90,4.34,US,1595102368
Ribeira Grande,38.52,-28.7,73.4,60,40,16.11,PT,1595102149
Riyadh,24.69,46.72,95.0,21,1,2.24,SA,1595102187
Amahai,-3.33,128.92,79.0,97,84,3.76,ID,1595102368
Ahwa,20.75,73.68,74.44,94,100,8.46,IN,1595102368
Thompson,55.74,-97.86,69.8,52,75,8.05,CA,1595102368
Katsuura,35.13,140.3,73.99,96,100,1.01,JP,1595102369
Henties Bay,-22.12,14.28,72.0,22,0,1.01,NA,1595102369
Nizhnevartovsk,60.93,76.55,66.2,93,90,6.71,RU,1595102369
Mayo,38.89,-76.51,93.0,49,1,9.17,US,1595102369
Sisimiut,66.94,-53.67,56.25,55,99,4.61,GL,1595102369
São João da Barra,-21.64,-41.05,77.0,53,20,16.11,BR,1595102369
Lebu,-37.62,-73.65,52.81,87,100,16.13,CL,1595102369
Oistins,13.07,-59.53,87.8,66,40,13.87,BB,1595102334
Prince Rupert,54.32,-130.32,57.67,91,100,4.54,CA,1595102370
Tiksi,71.69,128.87,46.49,98,100,7.43,RU,1595102370
Cotacachi,0.3,-78.27,69.8,32,75,11.41,EC,1595102370
La Ronge,55.1,-105.28,64.4,88,75,10.29,CA,1595102370
Maniitsoq,65.42,-52.9,52.27,66,93,4.74,GL,1595102370
Lorengau,-2.02,147.27,79.61,78,100,3.13,PG,1595102370
Praskoveya,44.74,44.2,79.03,49,0,4.16,RU,1595102371
Fort Morgan,40.25,-103.8,96.8,12,1,11.41,US,1595102371
Poronaysk,49.22,143.12,60.26,94,98,1.92,RU,1595102371
Tiarei,-17.53,-149.33,77.0,73,20,12.75,PF,1595102371
Namatanai,-3.67,152.43,78.44,81,100,4.27,PG,1595102371
Katherine,-14.47,132.27,57.2,50,0,4.7,AU,1595102371
Mehamn,71.04,27.85,51.39,82,100,7.4,NO,1595102371
San Joaquin,10.26,-67.79,81.7,74,81,2.15,VE,1595102372
Port Blair,11.67,92.75,81.39,78,15,6.29,IN,1595102372
Nabire,-3.37,135.48,73.26,87,61,3.36,ID,1595102107
Ancud,-41.87,-73.82,53.01,93,75,14.99,CL,1595102372
Belaya Gora,68.53,146.42,57.47,56,7,13.24,RU,1595102372
Qinzhou,21.95,108.62,83.68,82,100,9.71,CN,1595102372
Nizhniy Kislyay,50.85,40.17,59.79,85,0,0.58,RU,1595102372
Plaeng Yao,13.58,101.28,88.0,88,20,6.93,TH,1595102373
Salalah,17.02,54.09,84.2,89,75,4.7,OM,1595102373
Oranjemund,-28.55,16.43,61.97,35,0,6.44,NA,1595102321
Rāvar,31.27,56.81,83.01,15,0,6.06,IR,1595102373
Coyhaique,-45.58,-72.07,32.0,85,90,3.36,CL,1595102286
Bredasdorp,-34.53,20.04,57.2,82,0,8.05,ZA,1595102137
Puerto Peñasco,31.32,-113.53,88.0,73,0,11.01,MX,1595102373
Ulagan,50.63,87.96,55.49,78,0,0.38,RU,1595102373
Muzhi,65.37,64.67,53.29,94,5,3.18,RU,1595102373
At-Bashi,41.17,75.81,58.23,62,100,1.95,KG,1595102374
Corner Brook,48.97,-57.95,75.2,29,75,6.93,CA,1595102085
Padang,-0.95,100.35,77.0,94,40,1.12,ID,1595102234
Nevers,46.99,3.16,78.01,40,0,4.81,FR,1595102374
Abu Samrah,35.3,37.18,72.77,46,0,7.36,SY,1595102374
Pemangkat,1.17,108.97,75.33,94,79,3.2,ID,1595102374
San Quintín,30.48,-115.95,75.47,63,3,16.02,MX,1595102374
Vestmannaeyjar,63.44,-20.27,51.33,70,1,27.27,IS,1595102375
Sarangani,5.4,125.46,84.06,71,32,11.39,PH,1595102375
Karasjok,69.47,25.51,57.2,71,85,16.11,NO,1595102375
Hamilton,39.18,-84.53,95.0,52,75,11.41,US,1595102270
Klaksvík,62.23,-6.59,50.0,87,15,11.41,FO,1595102292
Upernavik,72.79,-56.15,49.14,52,0,7.25,GL,1595102375
Tuatapere,-46.13,167.68,35.33,80,0,3.98,NZ,1595102131
Ngaoundéré,7.32,13.58,65.62,96,100,1.1,CM,1595102375
Ibitinga,-21.76,-48.83,81.59,36,54,5.79,BR,1595102375
Alice Springs,-23.7,133.88,44.6,33,0,5.82,AU,1595102169
Freeport,40.66,-73.58,91.99,55,1,9.17,US,1595102080
Kahului,20.89,-156.47,89.6,49,20,18.34,US,1595102330
Zachary,30.65,-91.16,93.99,49,20,3.36,US,1595102352
Bonavista,48.65,-53.11,55.44,63,100,7.99,CA,1595102207
Norman Wells,65.28,-126.83,66.2,77,75,13.87,CA,1595102263
Komarichi,52.42,34.79,57.38,87,0,2.64,RU,1595102376
Ngunguru,-35.62,174.5,59.0,3,100,8.99,NZ,1595102377
Raja,8.46,25.68,70.56,94,96,4.14,SS,1595102377
Byron Bay,-28.65,153.62,53.01,100,90,6.93,AU,1595102377
São Filipe,14.9,-24.5,75.85,75,33,8.99,CV,1595102309
Saint Paul Harbor,57.79,-152.41,57.2,82,90,5.82,US,1595102377
Wucheng,29.6,118.17,77.9,83,100,2.8,CN,1595102377
Apache Junction,33.42,-111.55,106.0,18,40,3.36,US,1595102243
Saint George,37.1,-113.58,102.99,15,1,3.36,US,1595102306
Souillac,-20.52,57.52,69.8,56,40,12.75,MU,1595102378
Abu Dhabi,24.47,54.37,96.8,71,86,8.05,AE,1595102378
Arraial do Cabo,-22.97,-42.03,73.4,69,0,18.34,BR,1595102378
Kruisfontein,-34.0,24.73,54.23,73,0,8.1,ZA,1595102378
Øksfjord,70.24,22.35,57.2,82,47,10.29,NO,1595102378
Buenos Aires,-34.61,-58.38,59.0,100,90,6.93,AR,1595102143
Bull Savanna,17.89,-77.59,85.3,64,1,15.41,JM,1595102378
Haines Junction,60.75,-137.51,69.98,39,60,2.28,CA,1595102379
Yuli,9.7,10.27,74.89,87,47,3.69,NG,1595102379
Timaru,-44.4,171.25,43.0,97,96,4.07,NZ,1595102379
Corciano,43.13,12.29,66.99,63,0,4.7,IT,1595102379
Douentza,15.0,-2.95,94.6,36,100,7.36,ML,1595102379
Sambava,-14.27,50.17,67.37,77,1,15.5,MG,1595102379
San Policarpo,12.18,125.51,81.77,80,100,6.53,PH,1595102380
Port Hardy,50.7,-127.42,57.2,87,90,9.17,CA,1595102380
Pelym,61.01,62.0,65.19,82,51,4.81,RU,1595102380
Arcata,40.87,-124.08,70.0,63,1,11.41,US,1595102380
Atambua,-9.11,124.89,66.72,75,98,4.81,ID,1595102306
Jaspur,29.28,78.82,84.58,73,46,5.1,IN,1595102380
Hare Bay,48.85,-54.01,73.4,35,75,16.11,CA,1595102380
Zabaykal'sk,49.63,117.32,59.49,94,100,3.33,RU,1595102381
Sørland,67.67,12.69,54.93,81,19,16.84,NO,1595102381
Lacombe,52.47,-113.74,68.0,52,75,12.75,CA,1595102116
San Miguel de Cozumel,20.51,-86.95,84.0,83,75,6.93,MX,1595102339
Kumul,42.8,93.45,82.53,15,58,5.14,CN,1595102311
Takoradze,4.88,-1.76,75.16,90,64,8.23,GH,1595102381
Vila Franca do Campo,37.72,-25.43,71.6,73,40,12.75,PT,1595102381
Dickinson,29.46,-95.05,91.99,52,75,11.41,US,1595102249
Umluj,25.02,37.27,83.68,63,0,5.95,SA,1595102382
Terrace,54.52,-128.6,60.8,82,75,14.99,CA,1595102258
Lavrentiya,65.58,-171.0,47.77,71,77,6.62,RU,1595102382
Taoudenni,22.68,-3.98,106.65,12,38,3.15,ML,1595102382
Morondava,-20.28,44.28,72.72,53,32,15.3,MG,1595102382
Datong,40.09,113.29,63.54,39,0,5.39,CN,1595102382
Aleksandrovskiy Zavod,50.92,117.94,58.96,95,100,3.36,RU,1595102382
Aktau,43.65,51.2,78.8,50,0,8.95,KZ,1595102382
Gravdal,68.12,13.5,55.49,77,42,10.02,NO,1595102383
Mazamari,-11.33,-74.53,89.44,36,34,1.66,PE,1595102383
Acarí,-15.43,-74.62,71.02,47,1,8.14,PE,1595102383
Mersing,2.43,103.84,75.2,94,95,4.7,MY,1595102383
Asău,46.43,26.4,71.6,73,40,4.7,RO,1595102383
Vershino-Shakhtaminskiy,51.3,117.89,54.99,100,100,2.75,RU,1595102383
North Bend,43.41,-124.22,82.0,63,1,25.28,US,1595102191
Bathsheba,13.22,-59.52,87.8,66,40,13.87,BB,1595102384
Bridlington,54.08,-0.19,64.4,82,100,6.93,GB,1595102384
Abay,49.63,72.85,59.0,87,48,6.71,KZ,1595102384
Kāzerūn,29.62,51.65,86.4,27,53,3.51,IR,1595102384
Coromandel,-18.47,-47.2,73.33,44,0,8.19,BR,1595102384
Merauke,-8.47,140.33,73.17,86,98,10.07,ID,1595102384
Westport,41.14,-73.36,91.99,40,1,11.41,US,1595102385
Yangi Marg`ilon,40.43,71.72,82.4,32,96,4.7,UZ,1595102385
Gillette,44.29,-105.5,80.01,34,20,11.41,US,1595102385
Caborca,30.58,-111.1,98.01,33,100,4.0,MX,1595102385
Amapá,1.0,-52.0,83.98,70,50,0.96,BR,1595102385
Pacific Grove,36.62,-121.92,69.8,68,20,6.93,US,1595102385
Conde,-7.26,-34.91,78.8,78,75,13.87,BR,1595102385
Pangoa,-12.12,-73.0,85.33,47,7,4.0,PE,1595102386
Griffith,41.53,-87.42,89.6,66,90,11.41,US,1595102386
Raudeberg,61.99,5.14,57.99,71,1,11.41,NO,1595102386
Nome,64.5,-165.41,57.99,66,1,4.7,US,1595102386
Erzin,36.96,36.2,80.01,79,1,0.78,TR,1595102386
Natá,8.33,-80.52,84.0,54,93,1.01,PA,1595102386
Bodden Town,19.28,-81.25,89.6,62,40,9.17,KY,1595102386
Anadyr,64.75,177.48,51.8,71,40,20.13,RU,1595102332
Nelson Bay,-32.72,152.15,46.99,100,90,5.82,AU,1595102387
Geraldton,-28.77,114.6,46.4,93,33,5.82,AU,1595102387
Port-Gentil,-0.72,8.78,77.0,88,75,11.3,GA,1595102387
Jutaí,-5.18,-68.9,89.94,50,80,2.66,BR,1595102387
Umm Kaddadah,13.6,26.69,93.65,27,40,2.91,SD,1595102387
Andenes,69.31,16.12,55.4,82,0,4.7,NO,1595102387
Tucumcari,35.17,-103.72,98.6,20,1,9.17,US,1595102387
Nadym,65.53,72.52,56.25,94,48,11.92,RU,1595102387
Havøysund,71.0,24.66,53.6,76,4,3.36,NO,1595102388
Sur,22.57,59.53,88.74,63,0,8.23,OM,1595102287
Camden,39.78,-74.97,95.0,40,0,5.73,US,1595102388
Tucumã,-0.18,-50.05,85.86,64,3,7.54,BR,1595102283
Madang,-5.22,145.8,73.89,94,100,8.03,PG,1595102388
Barranca,-10.75,-77.77,64.45,71,20,11.18,PE,1595102388
Port Lincoln,-34.73,135.87,55.27,83,48,23.04,AU,1595102179
Calbuco,-41.77,-73.13,51.8,93,90,13.87,CL,1595102388
Maragogi,-9.01,-35.22,75.33,78,15,11.52,BR,1595102389
Valréas,44.38,4.99,80.6,34,0,16.11,FR,1595102389
Altagracia de Orituco,9.86,-66.38,82.63,73,34,4.85,VE,1595102389
Alamosa,37.47,-105.87,78.8,29,1,4.7,US,1595102389
Verkhnevilyuysk,63.45,120.32,53.19,94,44,4.7,RU,1595102389
Pierre,44.37,-100.35,87.01,37,75,23.04,US,1595102389
Araouane,18.9,-3.53,99.9,23,88,9.37,ML,1595102389
La Providencia,28.72,-111.58,100.99,40,5,15.99,MX,1595102390
Acaraú,-2.89,-40.12,83.19,66,91,13.44,BR,1595102385
Coahuayana Viejo,18.73,-103.68,84.2,58,75,6.93,MX,1595102390
Manicoré,-5.81,-61.3,88.95,54,91,2.08,BR,1595102390
Midyat,37.42,41.34,77.0,57,0,5.82,TR,1595102390
Atar,20.52,-13.05,103.37,16,58,11.48,MR,1595102185
Sabla,12.75,4.71,79.23,70,66,4.92,NG,1595102390
Itoman,26.12,127.67,80.6,88,20,13.87,JP,1595102390
Port Macquarie,-31.43,152.92,44.01,97,49,4.16,AU,1595102390
Isangel,-19.55,169.27,68.0,88,75,7.18,VU,1595102391
Lázaro Cárdenas,17.96,-102.2,87.71,56,14,11.56,MX,1595102391
General Roca,-39.03,-67.58,66.2,32,80,12.75,AR,1595102391
Yichun,47.7,128.9,65.01,96,23,2.62,CN,1595102391
Poum,-20.23,164.02,70.63,66,1,10.78,NC,1595102391
Kamiiso,41.82,140.65,66.56,92,99,3.76,JP,1595102391
Mahanoro,-19.9,48.8,67.75,82,65,10.78,MG,1595102391
Sangar,63.92,127.47,57.16,96,100,3.33,RU,1595102163
Puerto Madryn,-42.77,-65.04,57.47,52,34,9.71,AR,1595102097
Oparino,59.85,48.28,57.04,95,37,2.48,RU,1595102392
Novyy Oskol,50.76,37.87,61.47,83,0,4.38,RU,1595102392
Kajaani,64.23,27.73,64.4,72,39,4.7,FI,1595102392
Belyy Yar,53.6,91.39,50.0,93,0,4.47,RU,1595102392
Aloleng,16.13,119.78,80.87,80,100,5.91,PH,1595102392
Banjar,-8.19,114.97,75.22,77,3,5.32,ID,1595102314
Burnie,-41.07,145.92,48.99,91,100,11.01,AU,1595102392
Bereda,43.27,-7.54,79.0,75,0,8.99,ES,1595102393
Lanigan,51.85,-105.03,68.32,63,25,15.95,CA,1595102393
